1|Без группы|1
3|Хлебобулочные изделия|3
4|Молочные продукты|4
5|Яйца|5
6|Жиры и масла|6
7|Супы|7
8|Готовые продукты|8
9|Готовая бакалея|9
10|Мясо сырое|10
11|Мясо готовое|11
12|Колбасы,сосиски,сардельки|12
13|Пирожки|13
14|Каши|14
15|Орехи|15
16|Фрукты|16
17|Овощи|17
18|Овощи приготовленные|18
19|Салаты|19
20|Крупы и макаронные изд.|20
21|Приготовленные крупы и макаронные|21
22|Готовые рыбные|22
23|Рыбные продукты|23
24|Консервы и полуфабрикаты|24
25|Напитки|25
26|Кондитерские изделия|26
27|Шоколад,конфеты,сладости|27
28|Мороженое, безалкогольные коктейли|28
